stock1,stock2,pvalue_1on2,hr_1on2,pvalue_2on1,hr_2on1,pvalue_1on2_adj,pvalue_2on1_adj,cointegrated
2059.TW,2301.TW,0.4398920362686558,29.697057494965637,0.0801387626136092,0.023992531100116763,0.7327324220982868,0.4634481424092256,False
2059.TW,2303.TW,0.0358133146615194,30.39090206926077,0.15537790134732704,0.02480891006620218,0.34399657865144706,0.5668107069759519,False
2059.TW,2308.TW,0.8653288757040811,1.491887143052312,0.6757644156850455,0.3962363088609008,0.945934853166927,0.8423158013973582,False
2059.TW,2313.TW,0.9670580781600365,7.995807708154684,0.6752377042619342,0.04324392326670611,0.9917834064320024,0.8422660226667034,False
2059.TW,2317.TW,0.3996675910230294,31.065353525272457,0.11195514055972733,0.020167221283052594,0.7159011219728361,0.5219334869961822,False
2059.TW,2327.TW,0.00659897433141124,4.5828421598991955,0.05927314458424979,0.18318819507861123,0.1632862485725944,0.42221616796527073,False
2059.TW,2330.TW,0.8338145871931884,1.9742657883590615,0.6886894915519943,0.28776252912998446,0.9288359422167622,0.8500761241430649,False
2059.TW,2337.TW,0.7821391602508103,12.761437887278504,0.7172431560522697,0.03305993039780477,0.9004874188875165,0.8639396807995642,False
2059.TW,2344.TW,0.28213669734080926,17.018355234858472,0.7159581677674554,0.03583830084045925,0.6364525356267584,0.8630432294236093,False
2059.TW,2345.TW,0.8962043264735536,1.4757262690275637,0.7294436297306586,0.4075610805157416,0.9613021503119777,0.8720539573409222,False
2059.TW,2356.TW,0.03032053290163527,110.50624198914923,0.0008335904070004281,0.005984014791649444,0.3258691616903023,0.05430246079888503,False
2059.TW,2357.TW,0.825332771430456,7.840892619156053,0.1854359305848856,0.040342751784282135,0.9254072645236835,0.584315390352374,False
2059.TW,2360.TW,0.8322810477007792,1.1911540673993786,0.6720229641711111,0.45749103072094216,0.9282463676662779,0.8402261267662305,False
2059.TW,2368.TW,0.9543722550405458,2.19492760527348,0.7682127419092941,0.2361208301609455,0.9880053478676941,0.8929843671429231,False
2059.TW,2376.TW,0.4760118679509395,20.253682288521365,0.13372639650347196,0.02136692006754727,0.7516431731688717,0.5479263315057356,False
2059.TW,2379.TW,0.0576082091521954,12.550229694565083,0.1377634519964822,0.044332587405449556,0.4196975073458233,0.5538298976987043,False
2059.TW,2382.TW,0.002138356187523713,29.638286088900415,0.0004874927445027772,0.02300853217329082,0.0841000191841422,0.04715384365008682,False
2059.TW,2383.TW,0.5854178616232057,0.5937826202266565,0.6520964677637102,1.0695708799763899,0.7909837517549271,0.8273020370038804,False
2059.TW,2395.TW,0.46355471211024085,12.836547542635367,0.23003484178189182,0.043107876285417734,0.7478503120713192,0.6063346118644085,False
2059.TW,2404.TW,0.39877843500246735,4.746962552248048,0.0517134698508841,0.08955920821682004,0.7151127890606043,0.40065387321364576,False
2059.TW,2408.TW,0.6035457365580771,7.3946789213953785,0.6615257116579623,0.07811654052519264,0.7976016858757216,0.8352808827579967,False
2059.TW,2449.TW,0.9162152066887526,9.449120579181795,0.47483302870261884,0.0365818262549244,0.9700029650913758,0.7516431731688717,False
2059.TW,2454.TW,0.3538879960814089,0.9285933244195025,0.15652614585883629,0.7632040442699165,0.6913160853683338,0.5668107069759519,False
2059.TW,2492.TW,0.006423994524596928,8.748013900397586,0.04282705432773578,0.0920278416152539,0.1632862485725944,0.3635743548248208,False
2059.TW,3008.TW,0.04483389125702857,1.415524102902855,0.13629014390741767,0.5152401830999438,0.37268172107405,0.5506811890537686,False
